city,state,year_created,member_selection,independent_investigation,subpoena_power,independent_discipline,recommend_discipline,funding_structure,public_meetings,city_std,state_clean,has_sunset,voluntary_cooperation,mandatory_cooperation,has_budget_language,has_union_exclusion,text_length,filename,authority_level,board_weakness_index,board_weakness_index_broad,authority_score,year_num,decade
Rockford city,IL,2022,Appointed,N,N,N,Not specified,City-funded,Y,rockford,IL,False,False,False,False,False,0.0,Rockford_city_IL.pdf,review_only,0,-1,0,2022.0,2020
Sacramento city,CA,2021,Not specified,Limited (review/audit),Y,N,Y,City-funded,Y (implied),sacramento,CA,False,False,False,True,False,4785.0,Sacramento_city_CA.pdf,review_only,0,-1,0,2021.0,2020
Salem city,OR,2002,Appointed (Council),N,N,N,Y,Not specified,Y (implied),salem,OR,False,False,False,False,False,2171.0,Salem_city_OR.pdf,review_only,0,-1,0,2002.0,2000
Salt Lakecity,UT,2003,"Appointed (Mayor, confirmed by Council)",N,N,N,Y,City-funded,Not specified,salt lake,UT,False,False,False,True,False,4102.0,Salt_Lakecity_UT.pdf,review_only,0,-1,0,2003.0,2000
San Diego city,CA,1991,Appointed,Y,N,N,Y,City-funded,Y (implied),san diego,CA,False,False,False,True,False,6262.0,San_Diego_city_CA.pdf,investigative,0,-1,1,1991.0,1990
San Francisco city,CA,1982,Appointed (Mayor),Y,N,N,Y (advisory capacity),Volunteer/Unfunded,Y,san francisco,CA,False,False,False,False,False,7611.0,San_Francisco_city_CA.pdf,investigative,0,-1,1,1982.0,1980
San Jose city,CA,1993,Appointed (Council),N,N,N,Y,Not specified,Not specified,san jose,CA,False,True,False,False,False,1684.0,San_Jose_city_CA.pdf,review_only,1,0,0,1993.0,1990
Santa Ana city,CA,2022,Elected,Y,Y,N,Y,City-funded,Y (implied),santa ana,CA,False,False,True,True,False,10470.0,Santa_Ana_city_CA.pdf,investigative,0,-2,1,2022.0,2020
Seattle city,WA,2017,Appointed (Mayor & Council),Y,N,N,Y,Dedicated budget,Y,seattle,WA,True,True,True,True,True,137059.0,Seattle_city_WA.pdf,investigative,3,1,1,2017.0,2010
South Bend city,IN,2020,Appointed (Council),N,Y,N,Y,City-funded,Y,south bend,IN,True,False,True,True,False,11141.0,South_Bend_city_IN.pdf,review_only,1,-1,0,2020.0,2020
South Fulton city,GA,2025,Appointed (Mayor & Council),N,N,N,Not specified,Not specified,Not specified,south fulton,GA,False,False,False,False,False,3163.0,South_Fulton_city_GA.pdf,review_only,0,-1,0,2025.0,2020
Spokane Valley city,WA,2013,Appointed (Mayor & Council),Y,N,N,Y,Not specified,Not specified,spokane valley,WA,True,False,False,True,False,45706.0,Spokane_Valley_city_WA.pdf,investigative,1,0,1,2013.0,2010
Spokane city,WA,2008,Elected,Y,N,N,Y,City-funded,Y (implied),spokane,WA,False,False,False,True,False,6544.0,Spokane_city_WA.pdf,investigative,0,-1,1,2008.0,2000
Springfield city,IL,2005,Appointed,N,N,N,Y,Not specified,Not specified,springfield,IL,False,False,False,False,False,3077.0,Springfield_city_IL.pdf,review_only,0,-1,0,2005.0,2000
Springfield city,MO,1999,Appointed (Council),N,N,N,Y,City-funded,Y (implied),springfield,MO,True,False,False,False,False,10297.0,Springfield_city_MO.pdf,review_only,1,0,0,1999.0,1990
Springfield city,MS,2022,Appointed (Mayor & Council),Y,N,Y,Y,City-funded,Y,springfield,MS,True,False,True,True,True,66966.0,Springfield_city_MS_2.pdf,disciplinary,2,0,2,2022.0,2020
St. Louis city,MO,2015,Not specified,Y,N,N,Y,Not specified,Not specified,st louis,MO,False,False,False,False,False,778.0,St__Louis_city_MO.pdf,investigative,0,-1,1,2015.0,2010
St. Petersburg city,FL,1991,Appointed (Mayor),N,N,N,Y,City-funded,Y (implied),st petersburg,FL,False,False,False,False,False,5333.0,St__Petersburg_city_FL.pdf,review_only,0,-1,0,1991.0,1990
Stamford city,CT,1969,Appointed (Mayor),Y,N,Y,Y,Not specified,Y (implied),stamford,CT,False,False,False,False,False,2347.0,Stamford_city_CT.pdf,disciplinary,0,-1,2,1969.0,1960
Syracuse city,NY,1993,Appointed (Mayor),Y,Y,N,Y,Not specified,Y (implied),syracuse,NY,False,False,True,False,False,3079.0,Syracuse_city_NY.pdf,investigative,0,-2,1,1993.0,1990
Tacoma city,WA,2013,Appointed,N,N,N,Y,City-funded,Y,tacoma,WA,False,False,False,True,False,9780.0,Tacoma_city_WA.pdf,review_only,0,-1,0,2013.0,2010
Tallahassee city,FL,2020,Appointed,N,N,N,Y,Not specified,Y (implied),tallahassee,FL,False,False,False,False,False,3161.0,Tallahassee_city_FL.pdf,review_only,0,-1,0,2020.0,2020
Tempe city,AZ,1999,"Appointed (Mayor, confirmed by Council)",N,N,N,Y,Not specified,Not specified,tempe,AZ,False,False,False,False,False,3880.0,Tempe_city_AZ.pdf,review_only,0,-1,0,1999.0,1990
Toledo city,OH,1991,Appointed,N,N,N,Y (advisory capacity),Volunteer/Unfunded,Y,toledo,OH,False,False,False,False,False,1504.0,Toledo_city_OH.pdf,review_only,0,-1,0,1991.0,1990
Urban Honolulu,HI,2018,Elected,Y,N,Y,Y (advisory capacity),City-funded,Y (implied),urban honolulu,HI,True,True,True,True,True,457019.0,Urban_Honolulu_HI.pdf,disciplinary,3,1,2,2018.0,2010
Vallejo city,CA,2024,Appointed,Y,N,N,Y,Not specified,Y (implied),vallejo,CA,False,False,False,False,False,557.0,Vallejo_city_CA.pdf,investigative,0,-1,1,2024.0,2020
Virginia Beach city,VA,2022,Appointed (Council),N,Y,N,Y,Volunteer/Unfunded,Y (implied),virginia beach,VA,False,False,True,False,False,5801.0,Virginia_Beach_city_VA.pdf,review_only,0,-2,0,2022.0,2020
Washington city,DC,1999,Not specified,N,N,N,Y,City-funded,Y (implied),washington,DC,False,False,False,False,False,1018.0,Washington_city_DC.pdf,review_only,0,-1,0,1999.0,1990
Waterbury city,CT,2004,"Appointed (Mayor, confirmed by Council)",N,N,Y,Y,City-funded,Y (implied),waterbury,CT,True,True,True,True,True,570813.0,Waterbury_city_CT.pdf,disciplinary,3,1,2,2004.0,2000
West Valleycity,UT,2013,Appointed (Council),N,N,N,Y,City-funded,Y,west valley,UT,False,False,True,False,False,12755.0,West_Valleycity_UT.pdf,review_only,0,-2,0,2013.0,2010
Wichita city,KS,,"Appointed (Mayor, confirmed by Council)",N,N,N,Y,Not specified,Y (implied),wichita,KS,False,False,False,False,False,4868.0,Wichita_city_KS_2.pdf,review_only,0,-1,0,,
Winston-Salem city,NC,1993,Elected,N,N,N,Y,City-funded,Y,winston-salem,NC,,,,,,,,review_only,0,-1,0,1993.0,1990
