geoName	geoCode	term	interest
Abilene-Sweetwater TX	662	defund the police	23
Albany GA	525	defund the police	26
Albany-Schenectady-Troy NY	532	defund the police	40
Albuquerque-Santa Fe NM	790	defund the police	37
Alexandria LA	644	defund the police	22
Alpena MI	583	defund the police	100
Amarillo TX	634	defund the police	32
Anchorage AK	743	defund the police	19
Atlanta GA	524	defund the police	29
Augusta GA	520	defund the police	26
Austin TX	635	defund the police	41
Bakersfield CA	800	defund the police	36
Baltimore MD	512	defund the police	37
Bangor ME	537	defund the police	37
Baton Rouge LA	716	defund the police	28
Beaumont-Port Arthur TX	692	defund the police	34
Bend OR	821	defund the police	38
Billings, MT	756	defund the police	25
Biloxi-Gulfport MS	746	defund the police	25
Binghamton NY	502	defund the police	36
Birmingham AL	630	defund the police	28
Bluefield-Beckley-Oak Hill WV	559	defund the police	33
Boise ID	757	defund the police	35
Boston MA-Manchester NH	506	defund the police	34
Bowling Green KY	736	defund the police	16
Buffalo NY	514	defund the police	40
Burlington VT-Plattsburgh NY	523	defund the police	38
Butte-Bozeman MT	754	defund the police	41
Casper-Riverton WY	767	defund the police	41
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	637	defund the police	36
Champaign & Springfield-Decatur IL	648	defund the police	42
Charleston SC	519	defund the police	33
Charleston-Huntington WV	564	defund the police	29
Charlotte NC	517	defund the police	29
Charlottesville VA	584	defund the police	38
Chattanooga TN	575	defund the police	36
Cheyenne WY-Scottsbluff NE	759	defund the police	18
Chicago IL	602	defund the police	39
Chico-Redding CA	868	defund the police	28
Cincinnati OH	515	defund the police	32
Clarksburg-Weston WV	598	defund the police	27
Cleveland-Akron (Canton) OH	510	defund the police	36
Colorado Springs-Pueblo CO	752	defund the police	36
Columbia SC	546	defund the police	26
Columbia-Jefferson City MO	604	defund the police	29
Columbus GA	522	defund the police	33
Columbus OH	535	defund the police	30
Columbus-Tupelo-West Point MS	673	defund the police	18
Corpus Christi TX	600	defund the police	33
Dallas-Ft. Worth TX	623	defund the police	27
Davenport IA-Rock Island-Moline IL	682	defund the police	45
Dayton OH	542	defund the police	33
Denver CO	751	defund the police	30
Des Moines-Ames IA	679	defund the police	36
Detroit MI	505	defund the police	34
Dothan AL	606	defund the police	25
Duluth MN-Superior WI	676	defund the police	41
El Paso TX	765	defund the police	41
Elmira NY	565	defund the police	33
Erie PA	516	defund the police	33
Eugene OR	801	defund the police	37
Eureka CA	802	defund the police	45
Evansville IN	649	defund the police	31
Fairbanks AK	745	defund the police	20
Fargo-Valley City ND	724	defund the police	33
Flint-Saginaw-Bay City MI	513	defund the police	37
Florence-Myrtle Beach SC	570	defund the police	29
Fresno-Visalia CA	866	defund the police	28
Ft. Myers-Naples FL	571	defund the police	36
Ft. Smith-Fayetteville-Springdale-Rogers AR	670	defund the police	34
Ft. Wayne IN	509	defund the police	35
Gainesville FL	592	defund the police	27
Glendive MT	798	defund the police	0
Grand Junction-Montrose CO	773	defund the police	43
Grand Rapids-Kalamazoo-Battle Creek MI	563	defund the police	37
Great Falls MT	755	defund the police	35
Green Bay-Appleton WI	658	defund the police	37
Greensboro-High Point-Winston Salem NC	518	defund the police	32
Greenville-New Bern-Washington NC	545	defund the police	28
Greenville-Spartanburg SC-Asheville NC-Anderson SC	567	defund the police	36
Greenwood-Greenville MS	647	defund the police	0
Harlingen-Weslaco-Brownsville-McAllen TX	636	defund the police	21
Harrisburg-Lancaster-Lebanon-York PA	566	defund the police	34
Harrisonburg VA	569	defund the police	35
Hartford & New Haven CT	533	defund the police	37
Hattiesburg-Laurel MS	710	defund the police	20
Helena MT	766	defund the police	43
Honolulu HI	744	defund the police	23
Houston TX	618	defund the police	26
Huntsville-Decatur (Florence) AL	691	defund the police	30
Idaho Falls-Pocatello ID	758	defund the police	36
Indianapolis IN	527	defund the police	35
Jackson MS	718	defund the police	26
Jackson TN	639	defund the police	20
Jacksonville FL	561	defund the police	35
Johnstown-Altoona PA	574	defund the police	36
Jonesboro AR	734	defund the police	27
Joplin MO-Pittsburg KS	603	defund the police	39
Juneau AK	747	defund the police	0
Kansas City MO	616	defund the police	32
Knoxville TN	557	defund the police	32
La Crosse-Eau Claire WI	702	defund the police	36
Lafayette IN	582	defund the police	20
Lafayette LA	642	defund the police	26
Lake Charles LA	643	defund the police	16
Lansing MI	551	defund the police	39
Laredo TX	749	defund the police	30
Las Vegas NV	839	defund the police	33
Lexington KY	541	defund the police	31
Lima OH	558	defund the police	24
Lincoln & Hastings-Kearney NE	722	defund the police	30
Little Rock-Pine Bluff AR	693	defund the police	32
Los Angeles CA	803	defund the police	36
Louisville KY	529	defund the police	30
Lubbock TX	651	defund the police	23
