part	model	model_type	variable	coef	se	p_value	significance	n_obs	n_y1	sample	outcome	treatment_var
A	Full Model	Logit	council_pct_dem	7.691899	4.034925	0.0566	*	50	14			
A	Full Model	Logit	council_pct_black	5.461994	6.410382	0.3942		50	14			
A	Full Model	Logit	mayor_dem	-4.145485	4.488245	0.3557		50	14			
A	Full Model	Logit	mayor_black	1.989355	2.567961	0.4385		50	14			
A	Full Model (LPM)	LPM	log_pop	0.096971	0.09334	0.2989		50	14			
A	Full Model (LPM)	LPM	pct_black	0.890256	1.422501	0.5314		50	14			
A	Full Model (LPM)	LPM	pct_hispanic	0.279737	0.689765	0.6851		50	14			
A	Full Model (LPM)	LPM	south	-0.166171	0.167865	0.3222		50	14			
A	Full Model (LPM)	LPM	violent_crime_pc	1.1e-05	9e-06	0.2261		50	14			
A	Full Model (LPM)	LPM	police_killings_pc	-0.041116	0.017539	0.0191	**	50	14			
A	Full Model (LPM)	LPM	black_share_violent_arrests	-1.054531	0.589519	0.0736	*	50	14			
A	Full Model (LPM)	LPM	dem_power	0.070669	0.655407	0.9141		50	14			
A	Full Model (LPM)	LPM	council_pct_dem	0.657528	0.291903	0.0243	**	50	14			
A	Full Model (LPM)	LPM	council_pct_black	0.577345	0.887909	0.5155		50	14			
A	Full Model (LPM)	LPM	mayor_dem	-0.51451	0.642621	0.4233		50	14			
A	Full Model (LPM)	LPM	mayor_black	0.29234	0.392918	0.4569		50	14			
B	Strong COA During Term	PanelOLS	strong_coa_during_term	-0.015817	0.02587	0.541		8650	172	All Incumbents	vote_share	strong_coa_during_term
B	Weak COA During Term	PanelOLS	weak_coa_during_term	-0.007832	0.029616	0.7914		8650	147	All Incumbents	vote_share	weak_coa_during_term
B	Strong COA During Term	PanelOLS	strong_coa_during_term	-0.037999	0.031314	0.225		8650	172	All Incumbents	win	strong_coa_during_term
B	Weak COA During Term	PanelOLS	weak_coa_during_term	-0.039854	0.042209	0.3451		8650	147	All Incumbents	win	weak_coa_during_term
B	Post Strong COA	PanelOLS	post_strong_coa	-0.034014	0.024222	0.1603		8650	1159	All Incumbents	vote_share	post_strong_coa
B	Post Weak COA	PanelOLS	post_weak_coa	-0.016593	0.050122	0.7406		8650	776	All Incumbents	vote_share	post_weak_coa
B	Post Strong COA	PanelOLS	post_strong_coa	-0.003863	0.04787	0.9357		8650	1159	All Incumbents	win	post_strong_coa
B	Post Weak COA	PanelOLS	post_weak_coa	-0.033296	0.064216	0.6041		8650	776	All Incumbents	win	post_weak_coa
B	Strong COA During Term	PanelOLS	strong_coa_during_term	-0.009687	0.02789	0.7284		7001	163	City Council	vote_share	strong_coa_during_term
B	Weak COA During Term	PanelOLS	weak_coa_during_term	-0.009624	0.034238	0.7787		7001	119	City Council	vote_share	weak_coa_during_term
B	Strong COA During Term	PanelOLS	strong_coa_during_term	-0.01864	0.025497	0.4648		7001	163	City Council	win	strong_coa_during_term
B	Weak COA During Term	PanelOLS	weak_coa_during_term	-0.044287	0.051092	0.3861		7001	119	City Council	win	weak_coa_during_term
B	Strong COA During Term	PanelOLS	strong_coa_during_term	-0.147732	0.126777	0.2442		1649	9	Mayor	vote_share	strong_coa_during_term
B	Weak COA During Term	PanelOLS	weak_coa_during_term	-0.004945	0.040359	0.9025		1649	28	Mayor	vote_share	weak_coa_during_term
B	Strong COA During Term	PanelOLS	strong_coa_during_term	-0.185877	0.139638	0.1835		1649	9	Mayor	win	strong_coa_during_term
B	Weak COA During Term	PanelOLS	weak_coa_during_term	0.034493	0.074767	0.6447		1649	28	Mayor	win	weak_coa_during_term
B	Strong Coa During Term	PanelOLS	strong_coa_during_term	0.031157	0.041408	0.452		1450	57	Race: Black	vote_share	strong_coa_during_term
B	Weak Coa During Term	PanelOLS	weak_coa_during_term	0.080107	0.048396	0.0982	*	1450	33	Race: Black	vote_share	weak_coa_during_term
B	Post Strong Coa	PanelOLS	post_strong_coa	-0.003379	0.040276	0.9332		1450	367	Race: Black	vote_share	post_strong_coa
B	Post Weak Coa	PanelOLS	post_weak_coa	0.057675	0.036123	0.1107		1450	180	Race: Black	vote_share	post_weak_coa
B	Strong Coa During Term	PanelOLS	strong_coa_during_term	0.041428	0.045566	0.3635		1450	57	Race: Black	win	strong_coa_during_term
B	Weak Coa During Term	PanelOLS	weak_coa_during_term	0.107759	0.088455	0.2235		1450	33	Race: Black	win	weak_coa_during_term
B	Post Strong Coa	PanelOLS	post_strong_coa	0.110534	0.068437	0.1066		1450	367	Race: Black	win	post_strong_coa
B	Post Weak Coa	PanelOLS	post_weak_coa	0.117549	0.090906	0.1963		1450	180	Race: Black	win	post_weak_coa
B	Strong Coa During Term	PanelOLS	strong_coa_during_term	-0.041729	0.020891	0.0458	**	6310	93	Race: White	vote_share	strong_coa_during_term
B	Weak Coa During Term	PanelOLS	weak_coa_during_term	-0.036449	0.038241	0.3406		6310	100	Race: White	vote_share	weak_coa_during_term
B	Post Strong Coa	PanelOLS	post_strong_coa	-0.057073	0.027618	0.0388	**	6310	650	Race: White	vote_share	post_strong_coa
B	Post Weak Coa	PanelOLS	post_weak_coa	-0.035405	0.06898	0.6078		6310	549	Race: White	vote_share	post_weak_coa
B	Strong Coa During Term	PanelOLS	strong_coa_during_term	-0.089525	0.037407	0.0167	**	6310	93	Race: White	win	strong_coa_during_term
B	Weak Coa During Term	PanelOLS	weak_coa_during_term	-0.078462	0.054009	0.1464		6310	100	Race: White	win	weak_coa_during_term
B	Post Strong Coa	PanelOLS	post_strong_coa	-0.093571	0.061226	0.1265		6310	650	Race: White	win	post_strong_coa
B	Post Weak Coa	PanelOLS	post_weak_coa	-0.067003	0.08166	0.412		6310	549	Race: White	win	post_weak_coa
B	Strong COA During Term	PanelOLS	strong_coa_during_term	-0.020571	0.027932	0.4615		5666	154	Party: Democrat	vote_share	strong_coa_during_term
B	Weak COA During Term	PanelOLS	weak_coa_during_term	-0.00077	0.027881	0.978		5666	91	Party: Democrat	vote_share	weak_coa_during_term
